RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
14,P. George,LAC,@GS,105-115 L,39,9-13,5-7,2-2,4,7,0,1,4,25,46.2,5,18.25
15,R. O'Neale,UTAH,@Mil,131-118 W,34,6-8,6-8,0-0,8,6,3,1,1,18,45.5,12,14.5
16,L. James,LAL,Chi,115-117 W,34,11-21,0-5,6-8,7,7,0,0,4,28,44.9,7,22.5
17,J. Tatum,Bos,WSH,107-116 W,35,14-27,3-9,1-1,5,2,1,0,4,32,43.4,6,21.25
18,C. Wood,Hou,Orl,90-132 W,27,9-17,1-5,3-4,15,0,1,2,1,22,43.2,18,14.25
19,H. Diallo,Okc,@NY,101-89 W,29,8-13,1-2,6-8,11,2,1,0,1,23,41.5,12,16.75
20,G. Hayward,Cha,@NO,118-110 W,38,9-18,4-7,4-4,7,3,2,0,4,26,41.2,9,15.5
21,J. Randle,NY,Okc,101-89 L,31,8-15,1-1,1-3,12,7,1,0,2,18,41,13,15.25
22,N. Vucevic,Orl,@Hou,90-132 L,30,8-19,3-7,3-3,12,3,1,0,0,22,40.7,13,17.5
23,J. Clarkson,UTAH,@Mil,131-118 W,35,10-20,5-12,1-1,6,2,0,1,1,26,40.3,7,18.25
24,J. Harden,Hou,Orl,90-132 W,31,6-13,3-9,0-0,5,13,0,1,2,15,40.1,6,18.25
25,H. Barnes,Sac,Tor,144-123 L,31,6-8,2-2,7-10,4,8,1,0,3,21,39.9,5,18.25
26,Z. Williamson,NO,Cha,118-110 L,34,12-22,0-0,2-4,8,3,0,0,3,26,39,8,17.5
27,B. Clarke,Mem,BKN,110-115 W,33,9-22,3-7,0-1,8,5,1,2,1,21,38.4,11,16.75
28,W. Carter Jr.,Chi,@LAL,115-117 L,25,9-15,0-1,5-6,7,3,0,0,1,23,38.2,7,18.75
29,S. Ibaka,LAC,@GS,105-115 L,30,9-12,1-2,0-0,7,2,0,1,1,19,36.6,8,12.5
30,J. Hart,NO,Cha,118-110 L,27,6-8,4-5,3-4,8,2,1,0,1,19,36.5,9,13.25
1,T. Maxey,Phi,Den,115-103 L,44,18-33,3-8,0-0,7,6,2,0,2,39,62.5,9,32
2,J. Butler,Mia,@WSH,128-124 W,36,10-18,0-1,6-6,10,9,2,1,0,26,57.1,13,26
3,N. Vucevic,Orl,@Dal,98-112 L,33,14-24,2-7,0-0,15,2,2,0,0,30,56.8,17,23.75
4,D. DeRozan,SA,@Min,125-122 W,44,13-23,0-2,12-13,5,5,0,0,1,38,56.5,5,31
5,L. Ball,Cha,Atl,105-113 W,31,9-13,3-5,1-2,12,11,1,0,1,22,56.5,13,24.25
6,C. McCollum,Por,@Sac,125-99 W,29,13-22,6-11,5-5,3,3,2,0,1,37,55.6,5,31.75
7,A. Drummond,Cle,@Mil,90-100 L,41,11-23,0-1,4-5,24,3,1,1,6,26,54,26,12.75
8,D. Sabonis,Ind,PHX,125-117 L,41,12-24,0-4,4-8,22,4,0,0,3,28,53.7,22,18.75
9,M. Bridges,PHX,@Ind,125-117 W,35,12-18,6-8,4-4,3,2,0,1,0,34,52.4,4,27.25
10,T. Hardaway Jr.,Dal,Orl,98-112 W,40,12-20,8-13,4-6,5,2,0,0,4,36,50,5,24
11,K. Towns,Min,SA,125-122 L,37,9-17,2-3,5-6,13,4,0,3,3,25,49.8,16,16.75
12,T. Burke,Dal,Orl,98-112 W,21,11-13,7-8,0-0,0,4,0,1,1,29,48.2,1,26.75
13,T. Herro,Mia,@WSH,128-124 W,37,12-20,1-5,6-8,9,2,0,0,3,31,46.7,9,20.75
14,K. Middleton,Mil,Cle,90-100 W,35,10-16,3-6,4-4,5,6,1,0,4,27,46.3,6,20.25
15,P. Washington,Cha,Atl,105-113 W,36,7-11,2-4,6-6,7,1,0,6,1,22,44.4,13,13
16,L. Doncic,Dal,Orl,98-112 W,35,7-20,3-9,3-3,11,10,1,2,6,20,43.5,14,15.25
17,N. Jokic,Den,@Phi,115-103 W,29,6-8,0-0,3-3,9,12,0,0,4,15,43.2,9,15.75
18,D. Booker,PHX,@Ind,125-117 W,36,9-19,1-5,6-6,3,7,2,0,0,25,42.8,5,23
