RK,PLAYER,TEAM,OPP,SCORE,MIN,FGM-A,3PM-A,FTM-A,REB,AST,STL,BLK,TO,PTS,ESPN,DScore,OScore
30,I. Roby,Okc,Orl,118-107 L,28,9-12,1-2,0-3,7,0,1,2,1,19,33.8,10,11
1,J. Brown,Bos,Mem,107-126 W,29,15-21,7-10,5-6,5,4,1,0,4,42,65,6,34.75
2,K. Durant,BKN,Atl,141-145 W,35,11-22,2-6,9-9,11,8,1,1,4,33,60.3,13,28.25
3,G. Antetokounmpo,Mil,@Mia,108-119 L,38,10-18,2-6,4-4,13,10,3,1,4,26,60.2,17,22.5
4,D. Murray,SA,LAL,121-107 L,35,12-19,2-3,3-3,7,7,1,0,4,29,52.2,8,23.25
5,K. Leonard,LAC,Por,105-128 W,30,9-17,3-5,7-8,3,7,3,1,0,28,50.3,7,27.5
6,T. Young,Atl,@BKN,141-145 L,32,8-18,0-4,14-16,6,11,0,0,5,30,49.8,6,28
7,B. Adebayo,Mia,Mil,108-119 W,35,7-13,0-0,8-10,8,10,1,2,2,22,49,11,21.25
8,J. Collins,Atl,@BKN,141-145 L,31,12-20,2-5,4-5,10,1,1,0,1,30,48.5,11,22.25
9,P. George,LAC,Por,105-128 W,28,8-15,4-9,3-4,10,7,2,0,3,23,47.1,12,20
10,L. Ball,Cha,@Dal,118-99 W,29,7-10,4-5,4-4,8,5,1,1,2,22,45.6,10,17.75
11,M. Bridges,Cha,@Dal,118-99 W,30,6-9,4-6,4-4,16,2,0,2,5,20,44.7,18,9.5
12,L. James,LAL,@SA,121-107 W,35,11-23,1-3,3-5,5,8,1,1,2,26,44.3,7,23.25
13,T. Herro,Mia,Mil,108-119 W,39,8-13,2-6,3-4,15,4,0,0,4,21,43.8,15,11.25
14,D. DeRozan,SA,LAL,121-107 L,36,7-12,1-1,8-10,5,6,1,1,2,23,41.3,7,18
15,A. Davis,LAL,@SA,121-107 W,32,9-15,0-2,2-2,8,3,0,2,1,20,39,10,14
16,C. McCollum,Por,@LAC,105-128 L,28,8-17,7-11,2-2,4,3,1,0,1,25,38.3,5,20
17,J. Harris,BKN,Atl,141-145 W,31,8-11,6-8,1-2,2,2,0,1,0,23,37.3,3,17.25
18,K. Irving,BKN,Atl,141-145 W,34,10-27,3-11,2-2,2,6,2,0,1,25,35.1,4,21.5
19,G. Dragic,Mia,Mil,108-119 W,27,9-17,4-7,4-6,5,2,0,0,4,26,35,5,17.25
20,D. Schroder,LAL,@SA,121-107 W,34,9-15,3-5,0-0,4,4,1,0,5,21,33.8,5,11.5
21,B. Bogdanovic,Atl,@BKN,141-145 L,29,7-14,6-11,2-2,4,1,1,0,0,22,33.3,5,15.75
22,J. Valanciunas,Mem,@Bos,107-126 L,24,7-11,1-1,5-7,11,1,0,0,5,20,32.9,11,10
23,J. Allen,BKN,Atl,141-145 W,24,6-7,0-0,3-5,13,1,0,0,2,15,32.4,13,8
24,G. Dieng,Mem,@Bos,107-126 L,24,6-10,2-5,3-3,6,2,1,0,0,17,31.4,7,13
25,K. Olynyk,Mia,Mil,108-119 W,29,5-10,3-7,2-2,8,4,0,1,3,15,30.9,9,8.75
26,W. Matthews,LAL,@SA,121-107 W,22,6-6,6-6,0-0,2,0,0,0,0,18,29,2,12.5
27,T. Rozier,Cha,@Dal,118-99 W,30,8-17,2-7,0-0,5,3,0,1,3,18,28.3,6,10.5
28,J. Tatum,Bos,Mem,107-126 W,23,6-12,3-5,1-1,4,3,1,0,0,16,28.2,5,13.25
29,T. Hardaway Jr.,Dal,Cha,118-99 L,28,7-10,3-6,1-1,2,1,1,0,1,18,28.1,3,11
30,M. Smart,Bos,Mem,107-126 W,26,5-11,4-9,0-0,2,4,3,1,2,14,26.8,6,9.5
1,O. Porter Jr.,Chi,@WSH,133-130 W,31,10-14,5-9,3-3,12,3,3,0,0,28,57.3,15,23.25
2,D. Sabonis,Ind,Cle,99-119 W,37,10-14,2-2,3-3,11,7,0,0,1,25,53.7,11,21.75
3,J. Harden,Hou,Sac,119-122 W,38,10-24,4-11,9-11,6,8,1,1,6,33,49.9,8,25.5
4,R. Holmes,Sac,@Hou,119-122 L,36,10-13,0-0,2-2,13,2,2,1,1,22,48.6,16,14
5,T. Bryant,WSH,Chi,133-130 L,34,10-11,3-3,5-7,3,0,1,3,1,28,45.9,7,18.5
6,C. Wood,Hou,Sac,119-122 W,32,9-14,0-3,3-4,12,3,1,2,1,21,45.3,15,15
,F. VanVleet,Tor,NY,83-100 W,36,9-19,4-9,3-3,5,7,1,1,1,25,45.3,7,22
8,R. Westbrook,WSH,Chi,133-130 L,39,8-18,3-5,3-6,10,11,1,0,5,22,44.8,11,18.25
9,C. Sexton,Cle,@Ind,99-119 L,37,12-19,2-2,2-2,1,4,1,1,2,28,43.5,3,20.75
10,H. Barnes,Sac,@Hou,119-122 L,37,8-14,2-5,6-6,8,1,1,1,1,24,40.8,10,14.75
11,J. Wall,Hou,Sac,119-122 W,37,8-20,2-8,4-4,6,9,1,1,5,22,39.9,8,16.75
